,source,target,relationship
277,trump,Zeke Miller,is written by
278,suspect,Zeke Miller,is written by
279,donald,Zeke Miller,is written by
280,election,Zeke Miller,is written by
281,charged,Zeke Miller,is written by
282,tennis,Zeke Miller,is written by
283,athletics,Zeke Miller,is written by
284,capitol,Zeke Miller,is written by
285,Zeke Miller,CRIME,covers
286,Zeke Miller,SPORTS,covers
287,Zeke Miller,BUSINESS,covers
288,attack,Kevin Robillard,is written by
289,basketball,Kevin Robillard,is written by
290,economy,Kevin Robillard,is written by
291,football,Kevin Robillard,is written by
292,police,Kevin Robillard,is written by
293,court,Kevin Robillard,is written by
294,technology,Kevin Robillard,is written by
295,vote,Kevin Robillard,is written by
296,Baseball,Kevin Robillard,is written by
297,NFL,Kevin Robillard,is written by
298,golf,Kevin Robillard,is written by
299,suspect,Kevin Robillard,is written by
300,donald,Kevin Robillard,is written by
301,election,Kevin Robillard,is written by
302,charged,Kevin Robillard,is written by
303,tennis,Kevin Robillard,is written by
304,athletics,Kevin Robillard,is written by
305,capitol,Kevin Robillard,is written by
306,Kevin Robillard,CRIME,covers
307,Kevin Robillard,SPORTS,covers
308,Kevin Robillard,BUSINESS,covers
309,attack,Elyse Wanshel,is written by
310,basketball,Elyse Wanshel,is written by
311,economy,Elyse Wanshel,is written by
312,democrats,Elyse Wanshel,is written by
313,football,Elyse Wanshel,is written by
314,police,Elyse Wanshel,is written by
315,court,Elyse Wanshel,is written by
316,technology,Elyse Wanshel,is written by
317,vote,Elyse Wanshel,is written by
318,Baseball,Elyse Wanshel,is written by
319,NFL,Elyse Wanshel,is written by
320,golf,Elyse Wanshel,is written by
321,trump,Elyse Wanshel,is written by
322,suspect,Elyse Wanshel,is written by
323,donald,Elyse Wanshel,is written by
324,election,Elyse Wanshel,is written by
325,charged,Elyse Wanshel,is written by
326,tennis,Elyse Wanshel,is written by
327,capitol,Elyse Wanshel,is written by
328,Elyse Wanshel,CRIME,covers
329,Elyse Wanshel,BUSINESS,covers
330,attack,Dave Jamieson,is written by
331,basketball,Dave Jamieson,is written by
332,football,Dave Jamieson,is written by
333,police,Dave Jamieson,is written by
334,court,Dave Jamieson,is written by
335,technology,Dave Jamieson,is written by
336,Baseball,Dave Jamieson,is written by
337,NFL,Dave Jamieson,is written by
338,golf,Dave Jamieson,is written by
339,suspect,Dave Jamieson,is written by
340,donald,Dave Jamieson,is written by
341,election,Dave Jamieson,is written by
342,charged,Dave Jamieson,is written by
343,tennis,Dave Jamieson,is written by
344,athletics,Dave Jamieson,is written by
345,capitol,Dave Jamieson,is written by
346,Dave Jamieson,CRIME,covers
347,Dave Jamieson,SPORTS,covers
348,attack,Nathalie Baptiste,is written by
349,basketball,Nathalie Baptiste,is written by
350,economy,Nathalie Baptiste,is written by
351,democrats,Nathalie Baptiste,is written by
352,football,Nathalie Baptiste,is written by
353,police,Nathalie Baptiste,is written by
354,court,Nathalie Baptiste,is written by
355,technology,Nathalie Baptiste,is written by
356,biden,Nathalie Baptiste,is written by
357,vote,Nathalie Baptiste,is written by
358,Baseball,Nathalie Baptiste,is written by
359,NFL,Nathalie Baptiste,is written by
360,golf,Nathalie Baptiste,is written by
361,trump,Nathalie Baptiste,is written by
362,suspect,Nathalie Baptiste,is written by
363,donald,Nathalie Baptiste,is written by
364,election,Nathalie Baptiste,is written by
365,charged,Nathalie Baptiste,is written by
366,tennis,Nathalie Baptiste,is written by
367,athletics,Nathalie Baptiste,is written by
368,capitol,Nathalie Baptiste,is written by
369,Nathalie Baptiste,CRIME,covers
370,Nathalie Baptiste,SPORTS,covers
371,Nathalie Baptiste,BUSINESS,covers
372,attack,ACACIA CORONADO,is written by
373,basketball,ACACIA CORONADO,is written by
374,economy,ACACIA CORONADO,is written by
375,democrats,ACACIA CORONADO,is written by
376,football,ACACIA CORONADO,is written by
377,police,ACACIA CORONADO,is written by
378,court,ACACIA CORONADO,is written by
379,technology,ACACIA CORONADO,is written by
380,biden,ACACIA CORONADO,is written by
381,vote,ACACIA CORONADO,is written by
382,Baseball,ACACIA CORONADO,is written by
383,NFL,ACACIA CORONADO,is written by
384,golf,ACACIA CORONADO,is written by
385,trump,ACACIA CORONADO,is written by
386,suspect,ACACIA CORONADO,is written by
387,donald,ACACIA CORONADO,is written by
388,election,ACACIA CORONADO,is written by
389,charged,ACACIA CORONADO,is written by
390,tennis,ACACIA CORONADO,is written by
391,athletics,ACACIA CORONADO,is written by
392,capitol,ACACIA CORONADO,is written by
393,ACACIA CORONADO,CRIME,covers
394,ACACIA CORONADO,SPORTS,covers
395,ACACIA CORONADO,BUSINESS,covers
396,attack,Jessica Schulberg,is written by
397,basketball,Jessica Schulberg,is written by
398,economy,Jessica Schulberg,is written by
399,football,Jessica Schulberg,is written by
400,police,Jessica Schulberg,is written by
401,technology,Jessica Schulberg,is written by
402,vote,Jessica Schulberg,is written by
403,Baseball,Jessica Schulberg,is written by
404,NFL,Jessica Schulberg,is written by
405,golf,Jessica Schulberg,is written by
406,trump,Jessica Schulberg,is written by
407,suspect,Jessica Schulberg,is written by
408,donald,Jessica Schulberg,is written by
409,charged,Jessica Schulberg,is written by
410,tennis,Jessica Schulberg,is written by
411,athletics,Jessica Schulberg,is written by
412,capitol,Jessica Schulberg,is written by
413,Jessica Schulberg,CRIME,covers
414,Jessica Schulberg,SPORTS,covers
415,Jessica Schulberg,BUSINESS,covers
416,attack,Jennifer Bendery,is written by
417,basketball,Jennifer Bendery,is written by
418,economy,Jennifer Bendery,is written by
419,football,Jennifer Bendery,is written by
420,police,Jennifer Bendery,is written by
421,technology,Jennifer Bendery,is written by
422,vote,Jennifer Bendery,is written by
423,Baseball,Jennifer Bendery,is written by
424,NFL,Jennifer Bendery,is written by
425,golf,Jennifer Bendery,is written by
426,trump,Jennifer Bendery,is written by
427,suspect,Jennifer Bendery,is written by
428,donald,Jennifer Bendery,is written by
429,election,Jennifer Bendery,is written by
430,charged,Jennifer Bendery,is written by
431,tennis,Jennifer Bendery,is written by
432,athletics,Jennifer Bendery,is written by
433,capitol,Jennifer Bendery,is written by
434,Jennifer Bendery,CRIME,covers
435,Jennifer Bendery,SPORTS,covers
436,Jennifer Bendery,BUSINESS,covers
437,attack,Daniel Marans,is written by
438,basketball,Daniel Marans,is written by
439,economy,Daniel Marans,is written by
440,football,Daniel Marans,is written by
441,police,Daniel Marans,is written by
442,court,Daniel Marans,is written by
443,technology,Daniel Marans,is written by
444,vote,Daniel Marans,is written by
445,Baseball,Daniel Marans,is written by
446,NFL,Daniel Marans,is written by
447,golf,Daniel Marans,is written by
448,trump,Daniel Marans,is written by
449,suspect,Daniel Marans,is written by
450,donald,Daniel Marans,is written by
451,charged,Daniel Marans,is written by
452,tennis,Daniel Marans,is written by
453,athletics,Daniel Marans,is written by
454,capitol,Daniel Marans,is written by
455,Daniel Marans,CRIME,covers
456,Daniel Marans,SPORTS,covers
457,Daniel Marans,BUSINESS,covers
458,attack,CHRIS MEGERIAN,is written by
459,basketball,CHRIS MEGERIAN,is written by
460,economy,CHRIS MEGERIAN,is written by
461,democrats,CHRIS MEGERIAN,is written by
462,football,CHRIS MEGERIAN,is written by
463,republicans,CHRIS MEGERIAN,is written by
464,police,CHRIS MEGERIAN,is written by
465,court,CHRIS MEGERIAN,is written by
466,technology,CHRIS MEGERIAN,is written by
467,vote,CHRIS MEGERIAN,is written by
468,Baseball,CHRIS MEGERIAN,is written by
469,NFL,CHRIS MEGERIAN,is written by
470,golf,CHRIS MEGERIAN,is written by
471,trump,CHRIS MEGERIAN,is written by
472,suspect,CHRIS MEGERIAN,is written by
473,donald,CHRIS MEGERIAN,is written by
474,election,CHRIS MEGERIAN,is written by
475,charged,CHRIS MEGERIAN,is written by
476,tennis,CHRIS MEGERIAN,is written by
477,athletics,CHRIS MEGERIAN,is written by
478,capitol,CHRIS MEGERIAN,is written by
479,CHRIS MEGERIAN,CRIME,covers
480,CHRIS MEGERIAN,SPORTS,covers
481,CHRIS MEGERIAN,BUSINESS,covers
482,attack,Marita Vlachou,is written by
483,basketball,Marita Vlachou,is written by
484,economy,Marita Vlachou,is written by
485,democrats,Marita Vlachou,is written by
486,football,Marita Vlachou,is written by
487,police,Marita Vlachou,is written by
488,technology,Marita Vlachou,is written by
489,vote,Marita Vlachou,is written by
490,Baseball,Marita Vlachou,is written by
491,NFL,Marita Vlachou,is written by
492,golf,Marita Vlachou,is written by
493,trump,Marita Vlachou,is written by
494,suspect,Marita Vlachou,is written by
495,donald,Marita Vlachou,is written by
496,charged,Marita Vlachou,is written by
497,tennis,Marita Vlachou,is written by
498,athletics,Marita Vlachou,is written by
499,capitol,Marita Vlachou,is written by
500,Marita Vlachou,CRIME,covers
501,Marita Vlachou,SPORTS,covers
502,attack,Mary Papenfuss,is written by
503,economy,Mary Papenfuss,is written by
504,football,Mary Papenfuss,is written by
505,Baseball,Mary Papenfuss,is written by
506,NFL,Mary Papenfuss,is written by
507,golf,Mary Papenfuss,is written by
508,tennis,Mary Papenfuss,is written by
509,athletics,Mary Papenfuss,is written by
510,attack,S.V. Date,is written by
511,basketball,S.V. Date,is written by
512,economy,S.V. Date,is written by
513,democrats,S.V. Date,is written by
514,football,S.V. Date,is written by
515,police,S.V. Date,is written by
516,court,S.V. Date,is written by
517,technology,S.V. Date,is written by
518,vote,S.V. Date,is written by
519,Baseball,S.V. Date,is written by
520,NFL,S.V. Date,is written by
521,golf,S.V. Date,is written by
522,suspect,S.V. Date,is written by
523,donald,S.V. Date,is written by
524,charged,S.V. Date,is written by
525,tennis,S.V. Date,is written by
526,athletics,S.V. Date,is written by
527,capitol,S.V. Date,is written by
528,S.V. Date,CRIME,covers
529,S.V. Date,SPORTS,covers
530,S.V. Date,BUSINESS,covers
531,attack,Associated Press,is written by
532,basketball,Associated Press,is written by
533,economy,Associated Press,is written by
534,democrats,Associated Press,is written by
