,source,target,relationship
399,Mark Sherman,POLITICS,covers
400,Joseph Ax,POLITICS,covers
401,Emily Peck,POLITICS,covers
402,Steve Gorman,POLITICS,covers
403,Jenna Amatulli,POLITICS,covers
404,Kimberley Richards,POLITICS,covers
405,Kimberley Richards,SPORTS,covers
406,Bill Barrow,POLITICS,covers
407,Matthew Daly,POLITICS,covers
408,Jeff Mason,POLITICS,covers
409,Hunter Walker,POLITICS,covers
410,JILL COLVIN,POLITICS,covers
411,Matt Fuller,POLITICS,covers
412,Ed White,POLITICS,covers
413,Ed White,CRIME,covers
414,Andrew Heavens,POLITICS,covers
415,Michael Hobbes,POLITICS,covers
416,Aakriti Bhalla,POLITICS,covers
417,Jeff Martin,POLITICS,covers
418,Lawrence Hurley,POLITICS,covers
419,David Crary,POLITICS,covers
420,Nicholas Riccardi,POLITICS,covers
421,Angela Moore,POLITICS,covers
422,Reuters Staff,POLITICS,covers
423,Jarrett Renshaw,POLITICS,covers
424,Caroline Spiezio,POLITICS,covers
425,Hugo Greenhalgh,POLITICS,covers
426,Nadine White,POLITICS,covers
427,Luke O'Brien,POLITICS,covers
428,HuffPost Staff,POLITICS,covers
429,David Eggert,POLITICS,covers
430,Edith M. Lederer,POLITICS,covers
431,charged,MOGOMOTSI MAGOME,is written by
432,charged,BRIAN MELLEY,is written by
433,charged,Ken Ritter,is written by
434,charged,Maryclaire Dale,is written by
435,charged,Elliot Spagat,is written by
436,charged,Larry Neumeister,is written by
437,charged,Michael Liedtke,is written by
438,charged,Russ Bynum,is written by
439,charged,LARRY NEUMEISTER,is written by
440,charged,Hayley Miller,is written by
441,charged,Alanna Durkin R,is written by
442,MOGOMOTSI MAGOME,CRIME,covers
443,suspect,Carolyn Thompson,is written by
444,suspect,Sebastian Murdock,is written by
445,Carolyn Thompson,CRIME,covers
446,BRIAN MELLEY,CRIME,covers
447,Ken Ritter,CRIME,covers
448,Maryclaire Dale,CRIME,covers
449,Larry Neumeister,CRIME,covers
450,Michael Liedtke,CRIME,covers
451,police,Kelli Kennedy,is written by
452,police,Lindsay Whitehurst,is written by
453,Russ Bynum,CRIME,covers
454,LARRY NEUMEISTER,CRIME,covers
455,LARRY NEUMEISTER,SPORTS,covers
456,Lindsay Whitehurst,CRIME,covers
457,Alanna Durkin R,CRIME,covers
458,attack,Kimberlee Kruesi,is written by
459,NFL,LARRY NEUMEISTER,is written by
460,NFL,Bill Bradley,is written by
461,golf,Lee Moran,is written by
462,Baseball,Josephine Harvey,is written by
463,Baseball,Ronald Blum,is written by
464,Baseball,Bernie Wilson,is written by
465,athletics,Josephine Harvey,is written by
466,athletics,JAKE SEINER,is written by
467,athletics,Paul Newberry,is written by
468,athletics,EDDIE PELLS,is written by
469,athletics,TIM REYNOLDS,is written by
470,athletics,Kimberley Richards,is written by
471,athletics,Lee Moran,is written by
472,athletics,Stephen Wade,is written by
473,football,JILL LAWLESS,is written by
474,football,Charles Odum,is written by
475,football,Frank Schwab,is written by
476,JILL LAWLESS,SPORTS,covers
477,basketball,KYLE HIGHTOWER,is written by
478,basketball,DOUG FEINBERG,is written by
479,KYLE HIGHTOWER,SPORTS,covers
480,Charles Odum,SPORTS,covers
481,Ronald Blum,SPORTS,covers
482,JAKE SEINER,SPORTS,covers
483,Paul Newberry,SPORTS,covers
484,EDDIE PELLS,SPORTS,covers
485,TIM REYNOLDS,SPORTS,covers
486,DOUG FEINBERG,SPORTS,covers
487,tennis,Lee Moran,is written by
488,tennis,MATTIAS KARÉN,is written by
489,tennis,Hayley Miller,is written by
490,tennis,Josephine Harvey,is written by
491,tennis,Ja'han Jones,is written by
492,MATTIAS KARÉN,SPORTS,covers
493,Stephen Wade,SPORTS,covers
494,Frank Schwab,SPORTS,covers
495,Bill Bradley,SPORTS,covers
496,Bernie Wilson,SPORTS,covers
497,economy,Paul Wiseman,is written by
498,economy,Christopher Rugaber,is written by
499,Paul Wiseman,BUSINESS,covers
