,source,target,relationship,type,label
0,ACACIA CORONADO,BUSINESS,covers,explicit,no change
1,ACACIA CORONADO,CRIME,covers,explicit,no change
2,ACACIA CORONADO,POLITICS,covers,explicit,no change
3,ACACIA CORONADO,SPORTS,covers,explicit,no change
4,ANTHONY IZAGUIRRE,POLITICS,covers,implicit,no change
5,Aakriti Bhalla,POLITICS,covers,implicit,no change
6,Aamer Madhani,POLITICS,covers,implicit,no change
7,Acacia Coronado,POLITICS,covers,implicit,no change
8,Akbar Shahid Ahmed,POLITICS,covers,implicit,no change
9,Alan Fram,POLITICS,covers,implicit,no change
10,Alanna Durkin R,CRIME,covers,implicit,no change
11,Alanna Vagianos,BUSINESS,covers,explicit,no change
12,Alanna Vagianos,CRIME,covers,explicit,no change
13,Alanna Vagianos,POLITICS,covers,explicit,no change
14,Alanna Vagianos,SPORTS,covers,explicit,no change
15,Alexander C. Kaufman,BUSINESS,covers,implicit,no change
16,Alexander C. Kaufman,POLITICS,covers,implicit,no change
17,Alexandra Jaffe,POLITICS,covers,implicit,no change
18,Amanda Terkel,POLITICS,covers,implicit,no change
19,Amy Taxin,POLITICS,covers,implicit,no change
20,Andrew DeMillo,POLITICS,covers,implicit,no change
21,Andrew Heavens,POLITICS,covers,implicit,no change
22,Andrew Welsh-Huggins,POLITICS,covers,implicit,no change
23,Andy Campbell,BUSINESS,covers,explicit,no change
24,Andy Campbell,CRIME,covers,explicit,no change
25,Andy Campbell,POLITICS,covers,explicit,no change
26,Andy Campbell,SPORTS,covers,explicit,no change
27,Angela Moore,POLITICS,covers,implicit,no change
28,Ariel Edwards-Levy,POLITICS,covers,implicit,no change
29,Arthur Delaney,BUSINESS,covers,explicit,no change
30,Arthur Delaney,CRIME,covers,explicit,no change
31,Arthur Delaney,POLITICS,covers,explicit,no change
32,Arthur Delaney,SPORTS,covers,explicit,no change
33,Ashraf Khalil,POLITICS,covers,implicit,no change
34,Associated Press,BUSINESS,covers,explicit,no change
35,Associated Press,CRIME,covers,explicit,no change
36,Associated Press,POLITICS,covers,explicit,addition
37,Associated Press,SPORTS,covers,explicit,no change
38,BRIAN MELLEY,CRIME,covers,implicit,no change
39,BRIAN SLODYSKO,POLITICS,covers,implicit,no change
40,Baseball,ACACIA CORONADO,is written by,explicit,no change
41,Baseball,Alanna Vagianos,is written by,explicit,no change
42,Baseball,Andy Campbell,is written by,explicit,no change
43,Baseball,Arthur Delaney,is written by,explicit,no change
44,Baseball,Associated Press,is written by,explicit,no change
45,Baseball,Ben Blanchet,is written by,explicit,no change
46,Baseball,Bernie Wilson,is written by,implicit,no change
47,Baseball,Brian Slodysko,is written by,explicit,no change
48,Baseball,CHRIS MEGERIAN,is written by,explicit,no change
49,Baseball,Chris D'Angelo,is written by,explicit,no change
50,Baseball,Daniel Marans,is written by,explicit,no change
51,Baseball,Dave Jamieson,is written by,explicit,addition
52,Baseball,David Moye,is written by,explicit,no change
53,Baseball,Ed Mazza,is written by,explicit,no change
54,Baseball,Elyse Wanshel,is written by,explicit,no change
55,Baseball,Eric Tucker,is written by,explicit,no change
56,Baseball,FARNOUSH AMIRI,is written by,explicit,no change
57,Baseball,HOWARD FENDRICH,is written by,explicit,no change
58,Baseball,Hilary Hanson,is written by,explicit,no change
59,Baseball,Howard Fendrich,is written by,explicit,no change
60,Baseball,Igor Bobic,is written by,explicit,no change
61,Baseball,Jennifer Bendery,is written by,explicit,no change
62,Baseball,Jessica Schulberg,is written by,explicit,no change
63,Baseball,Jill Colvin,is written by,explicit,no change
64,Baseball,Jonathan Cohn,is written by,explicit,no change
65,Baseball,Jonathan Nicholson,is written by,explicit,no change
66,Baseball,Josephine Harvey,is written by,implicit,no change
67,Baseball,Kate Brumback,is written by,explicit,no change
68,Baseball,Kevin Robillard,is written by,explicit,no change
69,Baseball,Liz Skalka,is written by,explicit,no change
70,Baseball,Lydia O'Connor,is written by,explicit,no change
71,Baseball,Marita Vlachou,is written by,explicit,no change
72,Baseball,Mary Papenfuss,is written by,explicit,no change
73,Baseball,Michael R. Sisak,is written by,explicit,no change
74,Baseball,Nathalie Baptiste,is written by,explicit,no change
75,Baseball,Nick Visser,is written by,explicit,no change
76,Baseball,Nina Golgowski,is written by,explicit,no change
77,Baseball,Phillip Jackson,is written by,explicit,no change
78,Baseball,Ron Dicker,is written by,explicit,no change
79,Baseball,Ronald Blum,is written by,implicit,no change
80,Baseball,Ryan Grenoble,is written by,explicit,no change
81,Baseball,S.V. Date,is written by,explicit,no change
82,Baseball,Sanjana Karanth,is written by,explicit,no change
83,Baseball,Sara Boboltz,is written by,explicit,no change
84,Baseball,Terry Spencer,is written by,explicit,no change
85,Baseball,Zeke Miller,is written by,explicit,no change
86,Ben Blanchet,BUSINESS,covers,explicit,no change
87,Ben Blanchet,CRIME,covers,explicit,no change
88,Ben Blanchet,POLITICS,covers,explicit,no change
89,Ben Blanchet,SPORTS,covers,explicit,addition
90,Bernie Wilson,SPORTS,covers,implicit,no change
91,Bill Barrow,POLITICS,covers,implicit,no change
92,Bill Bradley,SPORTS,covers,implicit,no change
93,Brian Slodysko,BUSINESS,covers,explicit,no change
94,Brian Slodysko,CRIME,covers,explicit,no change
95,Brian Slodysko,POLITICS,covers,explicit,no change
96,Brian Slodysko,SPORTS,covers,explicit,no change
97,By CASEY SMITH,POLITICS,covers,implicit,no change
98,By Colleen Long,POLITICS,covers,implicit,no change
99,By Mark Sherman,POLITICS,covers,implicit,no change
100,CHRIS MEGERIAN,BUSINESS,covers,explicit,no change
101,CHRIS MEGERIAN,CRIME,covers,explicit,no change
102,CHRIS MEGERIAN,POLITICS,covers,explicit,no change
103,CHRIS MEGERIAN,SPORTS,covers,explicit,no change
104,CHRISTOPHER RUGABER,POLITICS,covers,implicit,no change
105,Cara Anna,POLITICS,covers,implicit,no change
106,Carol Kuruvilla,POLITICS,covers,implicit,no change
107,Caroline Spiezio,POLITICS,covers,implicit,no change
108,Carolyn Thompson,CRIME,covers,implicit,no change
109,Charles Odum,SPORTS,covers,implicit,no change
110,Chris D'Angelo,BUSINESS,covers,explicit,no change
111,Chris D'Angelo,CRIME,covers,explicit,no change
112,Chris D'Angelo,POLITICS,covers,explicit,no change
113,Chris D'Angelo,SPORTS,covers,explicit,no change
114,Christopher Mathias,POLITICS,covers,implicit,no change
115,Christopher Rugaber,BUSINESS,covers,implicit,no change
116,Christopher Rugaber,POLITICS,covers,implicit,no change
117,Colleen Long,POLITICS,covers,implicit,no change
118,Collin Binkley,POLITICS,covers,implicit,no change
119,Curt Anderson,POLITICS,covers,implicit,no change
120,Curtis M. Wong,POLITICS,covers,implicit,no change
121,DAVID BAUDER,POLITICS,covers,implicit,no change
122,DAVID PITT,POLITICS,covers,implicit,no change
123,DOUG FEINBERG,SPORTS,covers,implicit,no change
124,Daniel Marans,BUSINESS,covers,explicit,no change
125,Daniel Marans,CRIME,covers,explicit,no change
126,Daniel Marans,POLITICS,covers,explicit,no change
127,Daniel Marans,SPORTS,covers,explicit,no change
128,Dave Jamieson,BUSINESS,covers,explicit,no change
129,Dave Jamieson,CRIME,covers,explicit,no change
130,Dave Jamieson,POLITICS,covers,explicit,no change
131,Dave Jamieson,SPORTS,covers,explicit,addition
132,David Bauder,POLITICS,covers,implicit,no change
133,David Crary,POLITICS,covers,implicit,no change
134,David Eggert,POLITICS,covers,implicit,no change
135,David Klepper,POLITICS,covers,implicit,no change
136,David Morgan,POLITICS,covers,implicit,no change
137,David Moye,BUSINESS,covers,explicit,no change
138,David Moye,CRIME,covers,explicit,no change
139,David Moye,POLITICS,covers,explicit,no change
140,David Moye,SPORTS,covers,explicit,no change
141,Dominique Mosbergen,POLITICS,covers,implicit,no change
142,Dominique Mosbergen,SPORTS,covers,implicit,no change
143,Don Thompson,POLITICS,covers,implicit,no change
144,EDDIE PELLS,SPORTS,covers,implicit,no change
145,ELAINE GANLEY,POLITICS,covers,implicit,no change
146,Ed Mazza,BUSINESS,covers,explicit,no change
147,Ed Mazza,CRIME,covers,explicit,no change
148,Ed Mazza,POLITICS,covers,explicit,no change
149,Ed Mazza,SPORTS,covers,explicit,no change
150,Ed White,CRIME,covers,implicit,no change
151,Ed White,POLITICS,covers,implicit,no change
152,Edith M. Lederer,POLITICS,covers,implicit,no change
153,Elise Foley,POLITICS,covers,implicit,no change
154,Ellen Knickmeyer,POLITICS,covers,implicit,no change
155,Elliot Spagat,CRIME,covers,implicit,no change
156,Elliot Spagat,POLITICS,covers,implicit,no change
157,Elyse Wanshel,BUSINESS,covers,explicit,no change
158,Elyse Wanshel,CRIME,covers,explicit,addition
159,Elyse Wanshel,POLITICS,covers,explicit,no change
160,Elyse Wanshel,SPORTS,covers,explicit,no change
161,Emily Peck,POLITICS,covers,implicit,no change
162,Eric Tucker,BUSINESS,covers,explicit,no change
163,Eric Tucker,CRIME,covers,explicit,no change
164,Eric Tucker,POLITICS,covers,explicit,no change
165,Eric Tucker,SPORTS,covers,explicit,no change
166,FARNOUSH AMIRI,BUSINESS,covers,explicit,no change
167,FARNOUSH AMIRI,CRIME,covers,explicit,no change
168,FARNOUSH AMIRI,POLITICS,covers,explicit,no change
169,FARNOUSH AMIRI,SPORTS,covers,explicit,no change
170,FREIDA FRISARO,POLITICS,covers,implicit,no change
171,Farnoush Amiri,POLITICS,covers,implicit,no change
172,Frank Schwab,SPORTS,covers,implicit,no change
173,Garance Burke,POLITICS,covers,implicit,no change
174,George Zornick,POLITICS,covers,implicit,no change
175,HOWARD FENDRICH,BUSINESS,covers,explicit,no change
176,HOWARD FENDRICH,CRIME,covers,explicit,no change
177,HOWARD FENDRICH,POLITICS,covers,explicit,no change
178,HOWARD FENDRICH,SPORTS,covers,explicit,no change
179,Hayley Miller,CRIME,covers,implicit,no change
180,Hayley Miller,POLITICS,covers,implicit,no change
181,Hayley Miller,SPORTS,covers,implicit,no change
182,Hilary Hanson,BUSINESS,covers,explicit,no change
183,Hilary Hanson,CRIME,covers,explicit,no change
184,Hilary Hanson,POLITICS,covers,explicit,no change
185,Hilary Hanson,SPORTS,covers,explicit,no change
186,Hope Yen,POLITICS,covers,implicit,no change
187,Howard Fendrich,BUSINESS,covers,explicit,no change
188,Howard Fendrich,CRIME,covers,explicit,no change
189,Howard Fendrich,POLITICS,covers,explicit,no change
190,Howard Fendrich,SPORTS,covers,explicit,no change
191,HuffPost Editors,POLITICS,covers,implicit,no change
192,HuffPost Staff,POLITICS,covers,implicit,no change
193,Hugo Greenhalgh,POLITICS,covers,implicit,no change
194,Hunter Walker,POLITICS,covers,implicit,no change
195,Igor Bobic,BUSINESS,covers,explicit,no change
196,Igor Bobic,CRIME,covers,explicit,no change
197,Igor Bobic,POLITICS,covers,explicit,no change
198,Igor Bobic,SPORTS,covers,explicit,no change
199,JAKE SEINER,SPORTS,covers,implicit,no change
200,JAMES ANDERSON,POLITICS,covers,implicit,no change
201,JEFFREY COLLINS,POLITICS,covers,implicit,no change
202,JILL COLVIN,POLITICS,covers,implicit,no change
203,JILL LAWLESS,SPORTS,covers,implicit,no change
204,JOHN HANNA,POLITICS,covers,implicit,no change
205,JOSH BOAK,POLITICS,covers,implicit,no change
206,Ja'han Jones,POLITICS,covers,implicit,no change
207,Ja'han Jones,SPORTS,covers,implicit,no change
208,Jake Bleiberg,POLITICS,covers,implicit,no change
209,James Anderson,POLITICS,covers,implicit,no change
210,James LaPorta,POLITICS,covers,implicit,no change
211,Jan Wolfe,POLITICS,covers,implicit,no change
212,Jarrett Renshaw,POLITICS,covers,implicit,no change
213,Jeff Martin,POLITICS,covers,implicit,no change
214,Jeff Mason,POLITICS,covers,implicit,no change
215,Jenna Amatulli,POLITICS,covers,implicit,no change
216,Jennifer Bendery,BUSINESS,covers,explicit,no change
217,Jennifer Bendery,CRIME,covers,explicit,no change
218,Jennifer Bendery,POLITICS,covers,explicit,no change
219,Jennifer Bendery,SPORTS,covers,explicit,no change
220,Jennifer Peltz,POLITICS,covers,implicit,no change
221,Jeremy Blum,POLITICS,covers,implicit,no change
222,Jessica Gresko,POLITICS,covers,implicit,no change
223,Jessica Schulberg,BUSINESS,covers,explicit,no change
224,Jessica Schulberg,CRIME,covers,explicit,no change
225,Jessica Schulberg,POLITICS,covers,explicit,no change
226,Jessica Schulberg,SPORTS,covers,explicit,no change
227,Jill Colvin,BUSINESS,covers,explicit,no change
228,Jill Colvin,CRIME,covers,explicit,no change
229,Jill Colvin,POLITICS,covers,explicit,no change
230,Jill Colvin,SPORTS,covers,explicit,no change
231,Jonathan Cohn,BUSINESS,covers,explicit,no change
232,Jonathan Cohn,CRIME,covers,explicit,no change
233,Jonathan Cohn,POLITICS,covers,explicit,no change
234,Jonathan Cohn,SPORTS,covers,explicit,no change
235,Jonathan Lemire,POLITICS,covers,implicit,no change
236,Jonathan Nicholson,BUSINESS,covers,explicit,no change
237,Jonathan Nicholson,CRIME,covers,explicit,no change
238,Jonathan Nicholson,POLITICS,covers,explicit,no change
239,Jonathan Nicholson,SPORTS,covers,explicit,no change
240,Joseph Ax,POLITICS,covers,implicit,no change
241,Josephine Harvey,POLITICS,covers,implicit,no change
242,Josephine Harvey,SPORTS,covers,implicit,no change
243,Josh Boak,POLITICS,covers,implicit,no change
244,Julie Carr Smyth,POLITICS,covers,implicit,no change
245,KYLE HIGHTOWER,SPORTS,covers,implicit,no change
246,Karen Matthews,POLITICS,covers,implicit,no change
247,Kate Brumback,BUSINESS,covers,explicit,no change
248,Kate Brumback,CRIME,covers,explicit,no change
249,Kate Brumback,POLITICS,covers,explicit,no change
250,Kate Brumback,SPORTS,covers,explicit,no change
251,Kathy Gannon,POLITICS,covers,implicit,no change
252,Kelli Kennedy,CRIME,covers,implicit,no change
253,Kelli Kennedy,POLITICS,covers,implicit,no change
254,Ken Ritter,CRIME,covers,implicit,no change
255,Kevin Robillard,BUSINESS,covers,explicit,no change
256,Kevin Robillard,CRIME,covers,explicit,no change
257,Kevin Robillard,POLITICS,covers,explicit,no change
258,Kevin Robillard,SPORTS,covers,explicit,no change
259,Kimberlee Kruesi,CRIME,covers,implicit,no change
260,Kimberlee Kruesi,POLITICS,covers,implicit,no change
261,Kimberley Richards,POLITICS,covers,implicit,no change
262,Kimberley Richards,SPORTS,covers,implicit,no change
263,LARRY NEUMEISTER,CRIME,covers,implicit,no change
264,LARRY NEUMEISTER,SPORTS,covers,implicit,no change
265,LISA RATHKE,POLITICS,covers,implicit,no change
266,LOLITA C. BALDOR,POLITICS,covers,implicit,no change
267,Larry Neumeister,CRIME,covers,implicit,no change
268,Laurie Kellman,POLITICS,covers,implicit,no change
269,Lawrence Hurley,POLITICS,covers,implicit,no change
270,Lee Moran,POLITICS,covers,implicit,no change
271,Lee Moran,SPORTS,covers,implicit,no change
272,Lindsay Whitehurst,CRIME,covers,implicit,no change
273,Lisa Mascaro,POLITICS,covers,implicit,no change
274,Liz Skalka,BUSINESS,covers,explicit,no change
275,Liz Skalka,CRIME,covers,explicit,no change
276,Liz Skalka,POLITICS,covers,explicit,no change
277,Liz Skalka,SPORTS,covers,explicit,no change
278,Liza Hearon,POLITICS,covers,implicit,no change
279,Lolita C. Baldor,POLITICS,covers,implicit,no change
280,Luke O'Brien,POLITICS,covers,implicit,no change
281,Lydia O'Connor,BUSINESS,covers,explicit,no change
282,Lydia O'Connor,CRIME,covers,explicit,no change
283,Lydia O'Connor,POLITICS,covers,explicit,no change
284,Lydia O'Connor,SPORTS,covers,explicit,no change
285,MAE ANDERSON,POLITICS,covers,implicit,no change
286,MARINA VILLENEUVE,POLITICS,covers,implicit,no change
287,MARK SHERMAN,POLITICS,covers,implicit,no change
288,MARY CLARE JALONICK,POLITICS,covers,implicit,no change
289,MATTIAS KARÉN,SPORTS,covers,implicit,no change
290,MICHAEL BALSAMO,POLITICS,covers,implicit,no change
291,MOGOMOTSI MAGOME,CRIME,covers,implicit,no change
292,Marina Fang,POLITICS,covers,implicit,no change
293,Marina Villenueve,POLITICS,covers,implicit,no change
294,Marita Vlachou,BUSINESS,covers,explicit,no change
295,Marita Vlachou,CRIME,covers,explicit,no change
296,Marita Vlachou,POLITICS,covers,explicit,no change
297,Marita Vlachou,SPORTS,covers,explicit,no change
298,Mark Sherman,POLITICS,covers,implicit,no change
299,Mary Clare Jalonick,POLITICS,covers,implicit,no change
300,Mary Papenfuss,BUSINESS,covers,explicit,no change
301,Mary Papenfuss,CRIME,covers,explicit,no change
302,Mary Papenfuss,POLITICS,covers,explicit,no change
303,Mary Papenfuss,SPORTS,covers,explicit,no change
304,Maryclaire Dale,CRIME,covers,implicit,no change
305,Matt Fuller,POLITICS,covers,implicit,no change
306,Matt O'Brien,POLITICS,covers,implicit,no change
307,Matthew Daly,POLITICS,covers,implicit,no change
308,Matthew Lee,POLITICS,covers,implicit,no change
309,Mead Gruver,POLITICS,covers,implicit,no change
310,Melissa Jeltsen,POLITICS,covers,implicit,no change
311,Michael Balsamo,POLITICS,covers,implicit,no change
312,Michael Hobbes,POLITICS,covers,implicit,no change
313,Michael Kunzelman,POLITICS,covers,implicit,no change
314,Michael Liedtke,CRIME,covers,implicit,no change
315,Michael R. Sisak,BUSINESS,covers,explicit,no change
316,Michael R. Sisak,CRIME,covers,explicit,no change
317,Michael R. Sisak,POLITICS,covers,explicit,no change
318,Michael R. Sisak,SPORTS,covers,explicit,no change
319,Michael R. Sisick,POLITICS,covers,implicit,no change
320,Michelle L. Price,POLITICS,covers,implicit,no change
321,Mike Schneider,POLITICS,covers,implicit,no change
322,Molly Redden,POLITICS,covers,implicit,no change
323,NFL,ACACIA CORONADO,is written by,explicit,no change
324,NFL,Alanna Vagianos,is written by,explicit,no change
325,NFL,Andy Campbell,is written by,explicit,no change
326,NFL,Arthur Delaney,is written by,explicit,no change
327,NFL,Associated Press,is written by,explicit,no change
328,NFL,Ben Blanchet,is written by,explicit,addition
329,NFL,Bill Bradley,is written by,implicit,no change
330,NFL,Brian Slodysko,is written by,explicit,no change
331,NFL,CHRIS MEGERIAN,is written by,explicit,no change
332,NFL,Chris D'Angelo,is written by,explicit,no change
333,NFL,Daniel Marans,is written by,explicit,no change
334,NFL,Dave Jamieson,is written by,explicit,no change
335,NFL,David Moye,is written by,explicit,no change
336,NFL,Ed Mazza,is written by,explicit,no change
337,NFL,Elyse Wanshel,is written by,explicit,no change
338,NFL,Eric Tucker,is written by,explicit,no change
339,NFL,FARNOUSH AMIRI,is written by,explicit,no change
340,NFL,HOWARD FENDRICH,is written by,explicit,no change
341,NFL,Hilary Hanson,is written by,explicit,no change
342,NFL,Howard Fendrich,is written by,explicit,no change
343,NFL,Igor Bobic,is written by,explicit,no change
344,NFL,Jennifer Bendery,is written by,explicit,no change
345,NFL,Jessica Schulberg,is written by,explicit,no change
346,NFL,Jill Colvin,is written by,explicit,no change
347,NFL,Jonathan Cohn,is written by,explicit,no change
348,NFL,Jonathan Nicholson,is written by,explicit,no change
349,NFL,Kate Brumback,is written by,explicit,no change
350,NFL,Kevin Robillard,is written by,explicit,no change
351,NFL,LARRY NEUMEISTER,is written by,implicit,no change
352,NFL,Liz Skalka,is written by,explicit,no change
353,NFL,Lydia O'Connor,is written by,explicit,no change
354,NFL,Marita Vlachou,is written by,explicit,no change
355,NFL,Mary Papenfuss,is written by,explicit,no change
356,NFL,Michael R. Sisak,is written by,explicit,no change
357,NFL,Nathalie Baptiste,is written by,explicit,no change
358,NFL,Nick Visser,is written by,explicit,no change
359,NFL,Nina Golgowski,is written by,explicit,no change
360,NFL,Phillip Jackson,is written by,explicit,no change
361,NFL,Ron Dicker,is written by,explicit,no change
362,NFL,Ryan Grenoble,is written by,explicit,no change
363,NFL,S.V. Date,is written by,explicit,no change
364,NFL,Sanjana Karanth,is written by,explicit,no change
365,NFL,Sara Boboltz,is written by,explicit,no change
366,NFL,Terry Spencer,is written by,explicit,no change
367,NFL,Zeke Miller,is written by,explicit,no change
368,NICHOLAS RICCARDI,POLITICS,covers,implicit,no change
369,Nadine White,POLITICS,covers,implicit,no change
370,Nathalie Baptiste,BUSINESS,covers,explicit,no change
371,Nathalie Baptiste,CRIME,covers,explicit,no change
372,Nathalie Baptiste,POLITICS,covers,explicit,no change
373,Nathalie Baptiste,SPORTS,covers,explicit,no change
374,Nicholas Riccardi,POLITICS,covers,implicit,no change
375,Nick Robins-Early,POLITICS,covers,implicit,no change
376,Nick Visser,BUSINESS,covers,explicit,no change
377,Nick Visser,CRIME,covers,explicit,no change
378,Nick Visser,POLITICS,covers,explicit,no change
379,Nick Visser,SPORTS,covers,explicit,no change
380,Nina Golgowski,BUSINESS,covers,explicit,no change
381,Nina Golgowski,CRIME,covers,explicit,no change
382,Nina Golgowski,POLITICS,covers,explicit,no change
383,Nina Golgowski,SPORTS,covers,explicit,no change
384,Nomaan Merchant,POLITICS,covers,implicit,no change
385,PAUL J. WEBER,POLITICS,covers,implicit,no change
386,PETER SMITH,POLITICS,covers,implicit,no change
387,Patrick Whittle,POLITICS,covers,implicit,no change
388,Paul Blumenthal,POLITICS,covers,implicit,no change
389,Paul J. Weber,POLITICS,covers,implicit,no change
390,Paul Newberry,SPORTS,covers,implicit,no change
391,Paul Wiseman,BUSINESS,covers,implicit,no change
392,Philip Lewis,POLITICS,covers,implicit,no change
393,Phillip Jackson,BUSINESS,covers,explicit,no change
394,Phillip Jackson,CRIME,covers,explicit,no change
395,Phillip Jackson,POLITICS,covers,explicit,no change
396,Phillip Jackson,SPORTS,covers,explicit,no change
397,ROB GILLIES,POLITICS,covers,implicit,no change
398,Reuters Staff,POLITICS,covers,implicit,no change
399,Ricardo Alonso-Zaldivar,POLITICS,covers,implicit,no change
400,Ron Dicker,BUSINESS,covers,explicit,no change
401,Ron Dicker,CRIME,covers,explicit,no change
402,Ron Dicker,POLITICS,covers,explicit,no change
403,Ron Dicker,SPORTS,covers,explicit,no change
404,Ronald Blum,SPORTS,covers,implicit,no change
405,Rowaida Abdelaziz,POLITICS,covers,implicit,no change
406,Russ Bynum,CRIME,covers,implicit,no change
407,Ryan Grenoble,BUSINESS,covers,explicit,no change
408,Ryan Grenoble,CRIME,covers,explicit,no change
409,Ryan Grenoble,POLITICS,covers,explicit,no change
410,Ryan Grenoble,SPORTS,covers,explicit,no change
411,Ryan J. Reilly,POLITICS,covers,implicit,no change
412,S.V. Date,BUSINESS,covers,explicit,no change
413,S.V. Date,CRIME,covers,explicit,no change
414,S.V. Date,POLITICS,covers,explicit,no change
415,S.V. Date,SPORTS,covers,explicit,no change
416,SARAH RANKIN,POLITICS,covers,implicit,no change
417,STAN CHOE,POLITICS,covers,implicit,no change
418,Sam Metz,POLITICS,covers,implicit,no change
419,Samantha Lachman,POLITICS,covers,implicit,no change
420,Sanjana Karanth,BUSINESS,covers,explicit,no change
421,Sanjana Karanth,CRIME,covers,explicit,no change
422,Sanjana Karanth,POLITICS,covers,explicit,no change
423,Sanjana Karanth,SPORTS,covers,explicit,no change
424,Sara Boboltz,BUSINESS,covers,explicit,no change
425,Sara Boboltz,CRIME,covers,explicit,no change
426,Sara Boboltz,POLITICS,covers,explicit,no change
427,Sara Boboltz,SPORTS,covers,explicit,no change
428,Sara Burnett,POLITICS,covers,implicit,no change
429,Sarah Ruiz-Grossman,POLITICS,covers,implicit,no change
430,Sean Murphy,POLITICS,covers,implicit,no change
431,Sebastian Murdock,CRIME,covers,implicit,no change
432,Sebastian Murdock,POLITICS,covers,implicit,no change
433,Stan Choe,BUSINESS,covers,implicit,no change
434,Stan Choe,POLITICS,covers,implicit,no change
435,Stephen Wade,SPORTS,covers,implicit,no change
436,Steve Gorman,POLITICS,covers,implicit,no change
437,Steve Peoples,POLITICS,covers,implicit,no change
438,TIM REYNOLDS,SPORTS,covers,implicit,no change
439,Tara Golshan,POLITICS,covers,implicit,no change
440,Terry Spencer,BUSINESS,covers,explicit,no change
441,Terry Spencer,CRIME,covers,explicit,no change
442,Terry Spencer,POLITICS,covers,explicit,addition
443,Terry Spencer,SPORTS,covers,explicit,no change
444,The Associated Press,POLITICS,covers,implicit,no change
445,The Associated Press,SPORTS,covers,implicit,no change
446,Tim Sullivan,POLITICS,covers,implicit,no change
447,Travis Waldron,POLITICS,covers,implicit,no change
448,Vanessa Gera,POLITICS,covers,implicit,no change
449,ZEKE MILLER,POLITICS,covers,implicit,no change
450,Zachary D. Carter,POLITICS,covers,implicit,no change
451,Zahara Hill,POLITICS,covers,implicit,no change
452,Zeke Miller,BUSINESS,covers,explicit,no change
453,Zeke Miller,CRIME,covers,explicit,no change
454,Zeke Miller,POLITICS,covers,explicit,no change
455,Zeke Miller,SPORTS,covers,explicit,no change
456,athletics,ACACIA CORONADO,is written by,explicit,no change
457,athletics,Alanna Vagianos,is written by,explicit,no change
458,athletics,Andy Campbell,is written by,explicit,no change
459,athletics,Arthur Delaney,is written by,explicit,no change
460,athletics,Associated Press,is written by,explicit,no change
461,athletics,Ben Blanchet,is written by,explicit,no change
462,athletics,Brian Slodysko,is written by,explicit,no change
463,athletics,CHRIS MEGERIAN,is written by,explicit,no change
464,athletics,Chris D'Angelo,is written by,explicit,no change
465,athletics,Daniel Marans,is written by,explicit,no change
466,athletics,Dave Jamieson,is written by,explicit,no change
467,athletics,David Moye,is written by,explicit,no change
468,athletics,EDDIE PELLS,is written by,implicit,no change
469,athletics,Ed Mazza,is written by,explicit,no change
470,athletics,Elyse Wanshel,is written by,explicit,no change
471,athletics,Eric Tucker,is written by,explicit,no change
472,athletics,FARNOUSH AMIRI,is written by,explicit,no change
473,athletics,HOWARD FENDRICH,is written by,explicit,no change
474,athletics,Hilary Hanson,is written by,explicit,no change
475,athletics,Howard Fendrich,is written by,explicit,no change
476,athletics,Igor Bobic,is written by,explicit,no change
477,athletics,JAKE SEINER,is written by,implicit,no change
478,athletics,Jennifer Bendery,is written by,explicit,no change
479,athletics,Jessica Schulberg,is written by,explicit,no change
480,athletics,Jill Colvin,is written by,explicit,no change
481,athletics,Jonathan Cohn,is written by,explicit,no change
482,athletics,Jonathan Nicholson,is written by,explicit,no change
483,athletics,Josephine Harvey,is written by,implicit,no change
484,athletics,Kate Brumback,is written by,explicit,no change
485,athletics,Kevin Robillard,is written by,explicit,no change
486,athletics,Kimberley Richards,is written by,implicit,no change
487,athletics,Lee Moran,is written by,implicit,no change
488,athletics,Liz Skalka,is written by,explicit,no change
489,athletics,Lydia O'Connor,is written by,explicit,no change
490,athletics,Marita Vlachou,is written by,explicit,no change
491,athletics,Mary Papenfuss,is written by,explicit,no change
492,athletics,Michael R. Sisak,is written by,explicit,no change
493,athletics,Nathalie Baptiste,is written by,explicit,no change
494,athletics,Nick Visser,is written by,explicit,no change
495,athletics,Nina Golgowski,is written by,explicit,no change
496,athletics,Paul Newberry,is written by,implicit,no change
497,athletics,Phillip Jackson,is written by,explicit,no change
498,athletics,Ron Dicker,is written by,explicit,no change
499,athletics,Ryan Grenoble,is written by,explicit,no change
500,athletics,S.V. Date,is written by,explicit,no change
501,athletics,Sanjana Karanth,is written by,explicit,no change
502,athletics,Sara Boboltz,is written by,explicit,no change
503,athletics,Stephen Wade,is written by,implicit,no change
504,athletics,TIM REYNOLDS,is written by,implicit,no change
505,athletics,Terry Spencer,is written by,explicit,no change
506,athletics,Zeke Miller,is written by,explicit,no change
507,attack,ACACIA CORONADO,is written by,explicit,no change
508,attack,Alanna Vagianos,is written by,explicit,no change
509,attack,Andy Campbell,is written by,explicit,no change
510,attack,Arthur Delaney,is written by,explicit,no change
511,attack,Associated Press,is written by,explicit,no change
512,attack,Ben Blanchet,is written by,explicit,no change
513,attack,Brian Slodysko,is written by,explicit,no change
514,attack,CHRIS MEGERIAN,is written by,explicit,no change
515,attack,Chris D'Angelo,is written by,explicit,no change
516,attack,Daniel Marans,is written by,explicit,no change
517,attack,Dave Jamieson,is written by,explicit,no change
